Type,VIN,Year,Make,Body,Doors,Int_Color_Generic,Transmission,Miles,SellingPrice,Ext_Color_Generic,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity
New,ZCV9ES43H00DFP9W8,2018,Ford,Sport Utility,4,Gray,Automatic,0,19125,White,FWD,Gasoline Fuel,19,27,7
Used,HSRRSCA3Y13C97ZF3,2018,Chevrolet,4dr Car,4,Gray,Automatic,59582,11325,White,FWD,Gasoline Fuel,29,39,5
Used,WYVB4W9PPBZG4THWM,2019,Kia,4dr Car,4,Black,Variable,71783,11450,White,FWD,Gasoline Fuel,30,40,5
Used,5NTA2RZUNC40CDCJM,2019,Nissan,4dr Car,4,Gray,Variable,53975,10000,Black,FWD,Gasoline Fuel,29,37,5
Used,PXB5YLSWE0Z5XS1H5,2020,Nissan,4dr Car,4,Gray,Variable,60030,11775,Gray,FWD,Gasoline Fuel,29,39,5
Used,KXSVE7MLBLB500A5X,2024,Toyota,4dr Car,4,Black,Automatic,24150,27025,White,FWD,Gasoline Fuel,28,39,5
Used,2JGFF4KWTKL0RBT6R,2020,Kia,Sport Utility,4,Black,Automatic,76636,22525,Gray,FWD,Gasoline Fuel,20,26,8
New,HL6KV60L3MNN51D9V,2019,Nissan,Sport Utility,4,Gray,Variable,0,12800,Gray,FWD,Gasoline Fuel,25,32,5
Used,U9T0LEAJR2YLNHT01,2017,Lexus,Sport Utility,4,Black,Automatic,24298,24300,White,FWD,Gasoline Fuel,22,28,5
Used,R5S3ZPCKU46NS1PZP,2018,Hyundai,Sport Utility,4,Black,Automatic,71181,12875,Black,FWD,Gasoline Fuel,28,32,5
Used,10DW9R8YT2P82WAEU,2010,Kia,4dr Car,4,Gray,Automatic,177574,800,Silver,FWD,Gasoline Fuel,25,34,5
Used,K9PV73FEY31N74YCX,2017,Chevrolet,4dr Car,4,Gray,Automatic,77089,7700,White,FWD,Gasoline Fuel,30,40,5
New,5V6484VSXPF825ST6,2020,Chevrolet,Convertible,2,Black,Automatic,0,17225,White,RWD,Gasoline Fuel,19,31,4
New,A4D55RWYDYSKAXWCW,2022,Toyota,Extended Cab Pickup,4,Gray,Automatic,0,22650,White,RWD,Gasoline Fuel,20,23,4
Used,TH09LSFY32LNNCAWU,2022,Hyundai,Sport Utility,4,Black,Automatic,68589,16475,Silver,FWD,Gasoline Fuel,26,33,5
Used,TU99WNU7D1CAMJBFV,2019,Hyundai,4dr Car,4,Black,Automatic,65599,13125,Gray,FWD,Gasoline Fuel,25,33,5
New,LYTEPYZ4FYA0XC0RC,2020,Chevrolet,Sport Utility,4,Black,Automatic,0,12725,Silver,FWD,Gasoline Fuel,26,31,5
Used,38WAHLURTTKRGCF9Y,2015,Nissan,Sport Utility,4,Tan,Variable,74466,10125,Blue,FWD,Gasoline Fuel,26,33,5
Used,14RSD6XNZ4DVYCZ9S,2016,Audi,Sport Utility,4,Black,Automatic,141147,7050,Black,AWD,Gasoline Fuel,20,27,5
Used,K0Z3EMY5GZXMSKVWF,2019,Ford,Sport Utility,4,Black,Automatic,72974,10775,Black,FWD,Gasoline Fuel,21,29,5
New,1BEB3HZ9AVV3ELPD9,2021,Ford,Extended Cab Pickup,4,Black,Automatic,0,20700,White,RWD,Gasoline Fuel,21,26,4
New,HGLKAA1BWN5NGUN0L,2020,Honda,4dr Car,4,Black,Variable,0,18125,Black,FWD,Gasoline Fuel,29,37,5
New,ZKXDB70WM3GXEB7ZX,2022,Chevrolet,Crew Cab Pickup,4,Black,Automatic,0,39625,White,4WD,Gasoline Fuel,14,18,5
Used,1CA5R7CTC79M9H4BT,2021,Nissan,4dr Car,4,Gray,Variable,73443,13850,Black,FWD,Gasoline Fuel,32,40,5
New,EKVDD59LVK3KEN73Y,2019,INFINITI,Sport Utility,4,Gray,Variable,0,17050,Black,AWD,Gasoline Fuel,19,26,7
Used,JRFX4V6K69LXZV7H6,2017,Hyundai,Sport Utility,4,Gray,Automatic,69873,11675,Black,AWD,Gasoline Fuel,21,26,5
Used,425DGKC4CEX1FX2WC,2016,Jeep,Sport Utility,4,Gray,Manual,25987,7575,Silver,FWD,Gasoline Fuel,23,30,5
Used,SCK61R7SCJL1CS87L,2021,Ford,Full-size Passenger Van,3,Gray,Automatic,58840,35275,Silver,RWD,Gasoline Fuel,,,12
New,2LN7Y17S4PSB7EGYL,2017,Chevrolet,4dr Car,4,Gray,Automatic,0,11625,Blue,FWD,Gasoline Fuel,27,36,5
Used,NWKTL21DL4ZF2LDK7,2019,Chevrolet,Extended Cab Pickup,2,Gray,Automatic,67130,15075,White,RWD,Gasoline Fuel,20,26,4
Used,PCYHFUGJW78GCGTZU,2024,Nissan,Extended Cab Pickup,4,Gray,Automatic,2368,28100,White,RWD,Gasoline Fuel,18,24,4
Used,VURAHB00E6KXC2XNA,2018,Dodge,2dr Car,2,Black,Automatic,61275,16875,Gray,RWD,Gasoline Fuel,19,30,5
Used,HAXL3CSG27DH0PW14,2017,Kia,4dr Car,4,Black,Automatic,64340,10800,White,FWD,Gasoline Fuel,29,38,5
New,GN7YYRU7D9FWNG97T,2021,Toyota,Crew Cab Pickup,4,Gray,Automatic,0,29000,White,4WD,Gasoline Fuel,18,22,5
Used,RHCKCLVG02J8C6D5K,2017,Volkswagen,4dr Car,4,Gray,Automatic,71789,9050,Gray,FWD,Gasoline Fuel,28,38,5
Used,1PV6EFTDN2N6N98TY,2020,Hyundai,4dr Car,4,Gray,Variable,58821,12875,Gray,FWD,Gasoline Fuel,30,40,5
Used,4ADHY145Z98DA5HL2,2018,Toyota,"Mini-van, Passenger",4,Gray,Automatic,75446,21450,Blue,FWD,Gasoline Fuel,19,27,8
New,UWNT5S1D1AV833FMV,2024,Volvo,4dr Car,4,Gray,Automatic,0,34400,Black,AWD,Hybrid Fuel,25,33,5
Used,D8N3N09LRR70YDBJA,2023,Mitsubishi,Sport Utility,4,Black,Variable,24855,17425,Silver,4WD,Gasoline Fuel,23,29,5
Used,GUT7H4T0M0F3S9EXU,2021,Chevrolet,Sport Utility,4,Black,Automatic,71077,13350,Red,FWD,Gasoline Fuel,24,32,5
New,YSYRUC00PXC4VDMNT,2020,Chevrolet,Hatchback,4,Black,Automatic,0,9775,Silver,FWD,Gasoline Fuel,30,38,4
Used,TJZ9L29YRT0GG8VX7,2020,Hyundai,Sport Utility,4,Black,Automatic,42305,15225,Blue,FWD,Gasoline Fuel,23,28,5
New,V1NR1NJDENBDSY0K8,2020,Land Rover,Sport Utility,4,Tan,Automatic,0,25225,Blue,4WD,Gasoline Fuel,16,21,5
Used,ZWWY19Y78PNY897Z4,2018,Mercedes-Benz,4dr Car,4,Black,Automatic,64282,15075,Gray,AWD,Gasoline Fuel,24,32,5
New,G8A763A51RURU29KC,2021,Jeep,Sport Utility,4,Gray,Automatic,0,22350,Silver,4WD,Gasoline Fuel,19,27,5
New,33N863H4WUGGRJZXF,2017,Hyundai,Sport Utility,4,Tan,Automatic,0,11675,Brown,AWD,Gasoline Fuel,21,26,5
Used,47D5PU1TSXWMGA1ZC,2014,Jeep,Sport Utility,4,Gray,Manual,113645,4600,Black,FWD,Gasoline Fuel,23,30,5
New,28587H4M6JSW3VHHL,2017,Hyundai,Sport Utility,4,Gray,Automatic,0,13388,Gray,FWD,Gasoline Fuel,23,30,5
New,JC8VBMRVJCNUTG2U8,2021,Kia,"Mini-van, Passenger",4,Gray,Automatic,0,17200,White,FWD,Gasoline Fuel,18,24,8
Used,M6ENE9FU8K21F50GA,2017,Jaguar,Sport Utility,4,Tan,Automatic,92845,11400,Black,AWD,Gasoline Fuel,18,23,5
New,U2RR6TH546BMTCWJ1,2015,Mercedes-Benz,4dr Car,4,Black,Automatic,0,20138,Silver,AWD,Gasoline Fuel,19,26,4
Used,V3HL8K14VBEPK0KRR,2019,Honda,4dr Car,4,Black,Variable,33810,17475,Silver,FWD,Hybrid Fuel,55,49,5
Used,UEC4782DX5CH6KUC2,2021,Jeep,Sport Utility,4,Brown,Automatic,27122,32700,Brown,4WD,Gasoline Fuel,18,25,5
Used,DDYX656N0AKXGTVXD,2020,Ram,Crew Cab Pickup,4,Gray,Automatic,64606,18150,Gray,RWD,Gasoline Fuel,15,22,6
Used,L69FK4SE2YU19EG3P,2016,Ford,2dr Car,2,Black,6-Speed,64058,13875,Blue,RWD,Gasoline Fuel,22,31,4
New,ZM0ZWAY9L300XNLUT,2020,Ford,2dr Car,2,Black,Automatic,0,19825,Red,RWD,Gasoline Fuel,21,30,4
Used,GGNT8376563B620B0,2022,Ford,Sport Utility,4,Gray,Automatic,41135,16150,Silver,FWD,Gasoline Fuel,28,34,5
Used,5J4E9EB59U2KJUC4T,2023,Ford,Sport Utility,4,Black,Automatic,44135,46900,White,RWD,Gasoline Fuel,17,23,8
Used,K5GPM49NGVLZEE1T3,2024,Ford,Sport Utility,4,Black,Automatic,363,38725,Blue,4WD,Gasoline Fuel,20,27,6
New,PZ29VMZPCK5LLCPN1,2022,Ford,Sport Utility,4,Tan,Automatic,0,31500,Red,4WD,Gasoline Fuel,20,27,6
Used,3UAD3A1MULG44UCUT,2017,Chevrolet,4dr Car,4,Black,Automatic,65273,12025,Brown,FWD,Gasoline Fuel,27,36,5
Used,GZ9K15KWXGVM96BGD,2023,Chevrolet,4dr Car,4,Black,Automatic,41932,21450,Black,FWD,Gasoline Fuel,27,35,5
Used,3ASVR2FT8SPUX0HHB,2015,Cadillac,4dr Car,4,Black,Automatic,52585,9750,Black,AWD,Gasoline Fuel,20,28,5
Used,NMW9S3H86KU8T1PTN,2019,Chevrolet,Crew Cab Pickup,4,Gray,Automatic,64167,26925,White,4WD,Flex Fuel,15,22,6
New,S53S5LVTAD4YNK2UM,2022,Chevrolet,Extended Cab Pickup,2,Gray,Automatic,0,21925,White,RWD,Gasoline Fuel,19,25,4
Used,MFS0NFYCRBJX8R90E,2021,Nissan,4dr Car,4,Gray,Variable,36777,21025,Black,FWD,Gasoline Fuel,28,39,5
Used,E3Y1P55KM69X0EMZU,2020,Dodge,4dr Car,4,Black,Automatic,69854,23000,Red,RWD,Gasoline Fuel,16,25,5
Used,JEDR3HGGJKW7WU6J6,2019,Dodge,2dr Car,2,Black,Automatic,37040,31025,White,RWD,Gasoline Fuel,15,24,5
Used,E0CVKYHUWMP7TNJGF,2019,Dodge,2dr Car,2,Black,Automatic,65235,18850,Red,RWD,Gasoline Fuel,18,27,5
Used,D55LG4BD6ZZZ5JPSF,2019,Chevrolet,Extended Cab Pickup,4,Gray,Automatic,54638,25575,White,4WD,Flex Fuel,,,6
Used,SC33579XT6H0Z4Z98,2022,Ram,Crew Cab Pickup,4,Gray,Automatic,68651,37150,White,4WD,Diesel Fuel,,,6
Used,KG0W0R1U0WVNYB68V,2021,Chevrolet,Crew Cab Pickup,4,Black,Automatic,79374,36675,Black,4WD,Diesel Fuel,22,26,5
Used,Z48K180972UY856MZ,2019,Kia,4dr Car,4,Black,Variable,51211,11875,Red,FWD,Gasoline Fuel,30,40,5
Used,CMX7L6RBRVMRA8J4R,2017,Kia,4dr Car,4,Black,Automatic,21679,12375,Gray,FWD,Gasoline Fuel,29,38,5
Used,VYEN761WVU1SDD0RE,2019,Nissan,Sport Utility,4,Gray,Variable,24255,12750,Gray,FWD,Gasoline Fuel,31,36,5
Used,M8CRXP1LS8J5B2G32,2022,Toyota,Extended Cab Pickup,4,Gray,Automatic,59023,22650,White,RWD,Gasoline Fuel,20,23,4
Used,HWA2JH0NJ6L75U4T5,2020,Toyota,Extended Cab Pickup,4,Gray,Automatic,79775,19500,White,RWD,Gasoline Fuel,20,23,4
Used,K3GEH510WWPJTPX0J,2022,Volkswagen,Sport Utility,4,Black,Automatic,67730,20350,White,FWD,Gasoline Fuel,23,30,7
New,LEWBD1SU516F8SRFC,2016,Volkswagen,Hatchback,2,Black,Automatic,0,14250,Black,FWD,Gasoline Fuel,24,33,4
Used,4E9F5MSBFDWK233GE,2023,Mercedes-Benz,Sport Utility,4,Gray,Automatic,14840,43425,Blue,RWD,Electric Fuel System,94,87,5
Used,DGD6VC2ZA5WZ4T4DR,2016,Subaru,4dr Car,4,Tan,Variable,75063,12925,White,AWD,Gasoline Fuel,26,36,5
Used,X0HWLEXKVS73NLYL2,2021,Toyota,4dr Car,4,Black,Automatic,44066,22900,Silver,FWD,Gasoline Fuel,28,39,5
Used,S33486DY199HEZFFE,2024,Nissan,Sport Utility,4,Gray,Variable,11989,24625,Gray,FWD,Gasoline Fuel,30,37,5
Used,LNUYJFLC4KU3PSA4F,2019,Kia,4dr Car,4,Black,Automatic,54926,13075,Gray,FWD,Gasoline Fuel,24,33,5
Used,ZDZGJ8RFBSHHC1WL2,2022,Kia,Sport Utility,4,Gray,Automatic,54485,30825,White,FWD,Gasoline Fuel,20,26,8
New,TWPXJ0MTFZHSFMNXJ,2024,Kia,Sport Utility,4,Black,Automatic,0,33325,Red,FWD,Gasoline Fuel,20,26,7
Used,V6W5WP8KCBWJE589J,2019,Kia,Sport Utility,4,Black,Automatic,79499,13025,Black,FWD,Gasoline Fuel,22,29,7
Used,XT148CXTJPB49CYF3,2019,Mitsubishi,Sport Utility,4,Black,Variable,70844,10150,Gray,FWD,Gasoline Fuel,25,30,7
New,DKHDTZVBN013YD8MR,2023,Toyota,Sport Utility,4,Black,Automatic,0,24125,White,AWD,Electric Fuel System,,,5
New,3HWY7NLGXNN1CMRDP,2018,Chevrolet,Sport Utility,4,Black,Automatic,0,9375,Gray,FWD,Gasoline Fuel,25,33,5
Used,NSEDPEL1CPDBKM54A,2021,Mercedes-Benz,Sport Utility,4,Black,Automatic,50484,24175,White,FWD,Gasoline Fuel,25,34,5
New,YBXHTCK6R3J6GRFEJ,2019,Mercedes-Benz,Sport Utility,4,Black,Automatic,0,28000,White,AWD,Gasoline Fuel,21,27,5
Used,VNNEV0DNN21VHCA6R,2018,Mercedes-Benz,Station Wagon,4,Brown,Automatic,72992,26050,Blue,AWD,Gasoline Fuel,19,25,7
Used,A9WT2UM9Y7U9ESHZN,2018,Porsche,Sport Utility,4,Black,Automatic,71347,21900,Red,AWD,Gasoline Fuel,20,25,5
New,F9LMCZG8NV318LYUF,2022,Volvo,Sport Utility,4,Gray,Automatic,0,21175,Black,FWD,Gasoline Fuel,23,32,5
New,Y48ZH51DKXMYM7MHU,2020,Hyundai,4dr Car,4,Tan,Variable,0,12875,Red,FWD,Gasoline Fuel,30,40,5
Used,E250MJP5PTDZSA5UY,2019,Kia,4dr Car,4,Black,Automatic,78774,14325,Black,FWD,Gasoline Fuel,20,27,5
Used,RM5UCRX0S6RMK5FF3,2022,Alfa Romeo,Sport Utility,4,Black,Automatic,17169,26275,Blue,AWD,Gasoline Fuel,22,28,5
New,N2RZFX0AF6KJFXCZ8,2021,Jeep,Convertible,4,Black,Automatic,0,28525,White,4WD,Diesel Fuel,22,29,5
Used,A7HU8W92J77BV4L46,2024,Jeep,Convertible,4,Black,Automatic,14350,37325,Red,4WD,Hybrid Fuel,,,5
New,NAC7V53J9HDFYALN2,2016,Ford,4dr Car,4,Black,Automatic,0,7463,Black,FWD,Gasoline Fuel,26,36,5
Used,FN4RUZR4JWH4KVJCA,2022,Ford,Crew Cab Pickup,4,Black,Automatic,54475,28550,Gray,RWD,Gasoline Fuel,17,24,6
Used,LH7YL3DK5VDYB54HS,2020,Chevrolet,Sport Utility,4,Gray,Automatic,59125,21975,Blue,FWD,Gasoline Fuel,18,27,7
Used,KK7BDVUSM8CWNTNYA,2019,Honda,Sport Utility,4,Gray,Automatic,64562,20800,Blue,FWD,Gasoline Fuel,20,25,5
Used,U6VLGA94663P1PTN7,2016,Mazda,4dr Car,4,Tan,Automatic,75206,12800,Gray,FWD,Gasoline Fuel,26,38,5
Used,4GM3JBSYDU7N5TYW6,2013,Volkswagen,4dr Car,4,Black,Manual,146625,2750,Silver,FWD,Diesel Fuel,30,42,5
Used,3D7YLZ2M8BS0TUC78,2019,Honda,Sport Utility,4,Gray,Automatic,80273,17600,Black,FWD,Gasoline Fuel,19,27,8
Used,SXMBHJSTA8VLG6XW1,2012,Hyundai,4dr Car,4,Gray,Automatic,167823,1750,Gray,FWD,Gasoline Fuel,22,34,5
New,L303C89ACC3TCC0CK,2018,Mercedes-Benz,4dr Car,4,Black,Automatic,0,4295,Black,AWD,Gasoline Fuel,24,32,5
Used,CZD192FT9SU5JHN13,2019,Mitsubishi,4dr Car,4,Black,Variable,67540,6198,Blue,FWD,Gasoline Fuel,33,40,5
Used,SEVE0FFFAV0FPFW5X,2016,Kia,4dr Car,4,Black,Automatic,79712,6997,White,FWD,Gasoline Fuel,26,39,5
Used,XS8RECBPXWT5P9T4W,2019,FIAT,Hatchback,2,Black,Automatic,7304,7498,Silver,FWD,Electric Fuel System,121,103,4
Used,R6236UAR92M70LXS4,2019,Nissan,4dr Car,4,Gray,Manual,70765,7498,Silver,FWD,Gasoline Fuel,27,36,5
New,G1Z02LU2D638W00EN,2019,Nissan,4dr Car,4,Gray,Variable,0,7498,Gray,FWD,Gasoline Fuel,29,37,5
New,VYRHKPZY461R7N0RR,2015,BMW,Sport Utility,4,Tan,Automatic,0,7498,White,RWD,Gasoline Fuel,23,34,5
Used,DK8CB2LXDACL3F0CB,2019,Nissan,4dr Car,4,Gray,Manual,77394,7798,Gray,FWD,Gasoline Fuel,27,36,5
Used,AT537L1EDCZAZB09B,2017,Hyundai,4dr Car,4,Tan,Automatic,63196,7997,White,FWD,Gasoline Fuel,25,36,5
Used,TMJG540WK4S9FMM4D,2015,Dodge,Sport Utility,4,Black,Automatic,75605,7997,Black,FWD,Gasoline Fuel,17,25,7
New,A8K9XS3REN4DJBWHC,2017,Kia,4dr Car,4,Black,Automatic,0,7998,Black,FWD,Gasoline Fuel,27,36,5
Used,3HJ4KN7B1DPVKRBYZ,2019,Ford,4dr Car,4,Black,Automatic,54769,7998,Silver,FWD,Gasoline Fuel,27,35,5
New,LKTUT1XS22EZV6Y2Y,2015,Hyundai,4dr Car,4,Gray,Manual,0,7998,White,FWD,Gasoline Fuel,27,37,5
Used,C6KPL37FWFGZDV9H1,2016,Jeep,Sport Utility,4,Gray,Automatic,63553,8198,Black,FWD,Gasoline Fuel,21,28,5
New,H67LTURBPRNNUFUJG,2016,Jeep,Sport Utility,4,Gray,Automatic,0,8498,Silver,4WD,Gasoline Fuel,20,26,5
Used,DHU7VJM4HE2N6CHVZ,2017,Chevrolet,Hatchback,4,Black,Automatic,57574,8498,White,FWD,Gasoline Fuel,24,34,5
Used,DMRCDX18Z0WNMHT32,2018,Ford,4dr Car,4,Black,Automatic,49911,8498,Silver,FWD,Gasoline Fuel,27,35,5
Used,HJYZ7G9KNY0VBAF27,2016,Kia,Hatchback,4,Black,Automatic,53721,8698,White,FWD,Gasoline Fuel,24,30,5
New,CZD4D9Y27P34TPZY6,2017,Nissan,4dr Car,4,Gray,Variable,0,8798,Black,FWD,Gasoline Fuel,29,37,5
New,HF86S87YKZLWV7US0,2017,Kia,Hatchback,4,Gray,Automatic,0,8898,White,FWD,Electric Fuel System,120,92,5
Used,UNSJJ6SCB238G230K,2017,Jeep,Sport Utility,4,Gray,Variable,76637,8998,Silver,FWD,Gasoline Fuel,22,26,5
Used,CCS67A3JG6RGBAM5S,2015,Hyundai,4dr Car,4,Tan,Automatic,49791,8998,White,FWD,Gasoline Fuel,28,38,5
New,EPUNH410YSTC0XVCL,2015,Volkswagen,Sport Utility,4,Tan,Automatic,0,8998,Black,FWD,Gasoline Fuel,21,26,5
Used,REA2UGUSDJVNV74H4,2018,Chevrolet,Hatchback,4,Black,Automatic,35551,8998,Blue,FWD,Gasoline Fuel,30,38,4
Used,DY3YKEL787G3F57YN,2016,Jeep,Sport Utility,4,Gray,Automatic,65780,8998,Black,4WD,Gasoline Fuel,20,26,5
Used,HUPC4TUYBXT41C2WG,2018,Volkswagen,4dr Car,4,Gray,Automatic,78716,8998,Red,FWD,Gasoline Fuel,28,38,5
New,RXBULVT4A3TG8JDW4,2019,Nissan,4dr Car,4,Gray,Variable,0,8998,Blue,FWD,Gasoline Fuel,31,39,5
Used,Y2X4AVGVL6HAHPSN2,2018,Hyundai,4dr Car,4,Tan,Automatic,79044,9497,Tan,FWD,Gasoline Fuel,29,38,5
Used,4XZLYYF9Y6EB7KHMU,2017,Chevrolet,Hatchback,4,Black,Automatic,37048,9497,Blue,FWD,Gasoline Fuel,30,39,4
Used,B5ZPVFBDR5KAYR1JL,2016,Kia,4dr Car,4,Tan,Automatic,78379,9498,White,FWD,Gasoline Fuel,24,35,5
Used,W3EZWEDLVE4B1KW3A,2015,Ford,4dr Car,4,Black,Automatic,68891,9498,Red,FWD,Gasoline Fuel,22,34,5
Used,ZM4RU5GEP5K28UECZ,2017,Volkswagen,4dr Car,4,Black,Automatic,74653,9498,Black,FWD,Gasoline Fuel,28,38,5
Used,KDW6MHRV6Z9UVDV0U,2015,Hyundai,Sport Utility,4,Tan,Automatic,71331,9498,White,FWD,Gasoline Fuel,23,29,5
Used,X09REP1HD8Y73K0VF,2015,Volkswagen,4dr Car,4,Tan,Automatic,69535,9498,Black,FWD,Gasoline Fuel,24,36,5
Used,2JVG5AWKNE787FZ1N,2015,BMW,4dr Car,4,Black,Automatic,71229,9498,White,AWD,Gasoline Fuel,23,35,5
Used,KD51BHP3R4LMK9CZE,2018,Hyundai,4dr Car,4,Black,Automatic,67500,9498,White,FWD,Gasoline Fuel,29,38,5
