VIN,Type,Year,Make,Model,Body,Doors,Ext_Color_Generic,Int_Color_Generic,EngineCylinders,Transmission,Miles,SellingPrice,Engine_Block_Type,Engine_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,MarketClass,PassengerCapacity
XTT5TRS788WCHDRLU,Used,2021,Kia,Forte,4dr Car,4,Blue,Black,4,Variable,33270,14650,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,29,40,4-door Mid-Size Passenger Car,5
UP1DHEA5P7UCVERJ3,New,2018,Volkswagen,Beetle,Hatchback,2,Gray,Black,4,Automatic,0,14875,I,Intercooled Turbo Regular Unleaded I-4 2.0 L/121,FWD,Gasoline Fuel,26,33,2-door Compact Passenger Car,4
SV760F3HX05K1FB9T,New,2018,Kia,Optima,4dr Car,4,Black,Tan,4,Automatic,0,9675,I,Regular Unleaded I-4 2.4 L/144,FWD,Gasoline Fuel,25,36,4-door Large Passenger Car,5
WA2RV9PNKCBKCZ1J4,New,2018,Alfa Romeo,Giulia,4dr Car,4,Red,Black,4,Automatic,0,15000,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,RWD,Gasoline Fuel,24,33,4-door Mid-Size Passenger Car,5
37WYN34U5B6M996F9,Used,2019,Alfa Romeo,Giulia,4dr Car,4,Red,Black,4,Automatic,28430,20725,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,RWD,Gasoline Fuel,24,33,4-door Mid-Size Passenger Car,5
ETKBGS1692YLN3YN7,Used,2021,Ford,Mustang,Convertible,2,White,Black,4,Automatic,74016,20750,I,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,RWD,Gasoline Fuel,20,27,2-door Sub-Compact Passenger Car,4
JFLRZU9PJP3T0AJ8M,New,2021,Volkswagen,Tiguan,Sport Utility,4,Gray,Black,4,Automatic,0,19900,I,Intercooled Turbo Regular Unleaded I-4 2.0 L/121,FWD,Gasoline Fuel,23,29,2WD Sport Utility Vehicles,7
KV5YGWY764L8NTATR,Used,2019,Hyundai,Veloster,3dr Car,3,White,Gray,4,Automatic,80145,13775,I,Intercooled Turbo Regular Unleaded I-4 1.6 L/97,FWD,Gasoline Fuel,28,34,2-door Compact Passenger Car,4
F0Z7NELU84TR3H5CV,New,2022,Chevrolet,Silverado 1500,Crew Cab Pickup,4,Blue,Black,4,Automatic,0,30625,I,Turbocharged Gas I4 2.7L/166,RWD,Gasoline Fuel,19,22,2WD Standard Pickup Trucks,6
C25KNSLTNXX3T2FU5,Used,2022,Hyundai,Elantra,4dr Car,4,Black,Black,4,Variable,54972,17450,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,31,41,4-door Mid-Size Passenger Car,5
EGHCM5Y2HR6TFSXRK,Used,2019,Chevrolet,Colorado,Crew Cab Pickup,4,Gray,Black,6,Automatic,16230,24600,V,Gas V6 3.6L/222,RWD,Gasoline Fuel,18,25,2WD Small Pickup Trucks,5
D7BG2SJE5DGUDH6Y4,Used,2020,Toyota,Tacoma 2WD,Extended Cab Pickup,4,White,Gray,4,Automatic,33400,22050,I,Regular Unleaded I-4 2.7 L/164,RWD,Gasoline Fuel,20,23,2WD Small Pickup Trucks,4
PV03E1V7FN1ADHJFT,Used,2022,Kia,Stinger,4dr Car,4,Silver,Black,4,Automatic,65057,24650,I,Intercooled Turbo Premium Unleaded I-4 2.5 L/152,AWD,Gasoline Fuel,21,29,4-door Mid-Size Passenger Car,5
GR1K3CL2H8140XP4C,New,2009,Toyota,Corolla,4dr Car,4,White,Gray,4,Automatic,0,1950,I,Gas I4 1.8L/110,FWD,Gasoline Fuel,27,35,4-door Compact Passenger Car,5
UXFMHHJPRY0FJMNXL,Used,2016,Buick,Cascada,Convertible,2,White,Black,4,Automatic,77621,12250,I,Gas I4 1.6L,FWD,Gasoline Fuel,20,27,2-door Compact Passenger Car,4
WCM47Y2LPMN6WAWD0,New,2021,Hyundai,Sonata,4dr Car,4,Red,Black,4,Automatic,0,15675,I,Regular Unleaded I-4 2.5 L/152,FWD,Gasoline Fuel,27,37,4-door Large Passenger Car,5
PZF39KZZTNHMEJRRD,Used,2013,Ford,Focus,4dr Car,4,Black,Black,4,Automatic,137314,2625,I,Gas I4 2.0L/122,FWD,Gasoline Fuel,27,38,4-door Compact Passenger Car,5
JB8L5W4PDESZUL4X4,Used,2020,Kia,Forte,4dr Car,4,White,Black,4,Variable,53128,12700,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,29,40,4-door Mid-Size Passenger Car,5
YF9D914GTS6R84J36,Used,2023,Hyundai,Elantra,4dr Car,4,Red,Black,4,Variable,21860,17750,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,33,42,4-door Mid-Size Passenger Car,5
G52M1LEU3BE6JCH9X,Used,2021,Kia,Sportage,Sport Utility,4,White,Black,4,Automatic,45776,15800,I,Regular Unleaded I-4 2.4 L/144,FWD,Gasoline Fuel,23,30,2WD Sport Utility Vehicles,5
3N7LP7MRY7S1DZWG0,Used,2017,Kia,Sportage,Sport Utility,4,Silver,Black,4,Automatic,61989,11975,I,Regular Unleaded I-4 2.4 L/144,AWD,Gasoline Fuel,21,25,4WD Sport Utility Vehicles,5
JV31CYNH8JA6LHHDK,Used,2019,Land Rover,Discovery Sport,Sport Utility,4,White,Tan,4,Automatic,20316,21800,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,4WD,Gasoline Fuel,21,25,4WD Sport Utility Vehicles,5
VEC2XSTAFKHSGTURM,Used,2011,Toyota,Highlander,Sport Utility,4,White,Gray,6,Automatic,152326,7050,V,Gas V6 3.5L/,4WD,Gasoline Fuel,17,22,4WD Sport Utility Vehicles,7
TASCVP19Y8AU59MZA,Used,2021,Jeep,Wrangler,Convertible,4,Black,Black,4,Automatic,73736,27325,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,4WD,Gasoline Fuel,20,24,4WD Sport Utility Vehicles,5
ZCV9ES43H00DFP9W8,New,2018,Ford,Explorer,Sport Utility,4,White,Gray,6,Automatic,0,19125,V,Regular Unleaded V-6 3.5 L/213,FWD,Gasoline Fuel,19,27,2WD Sport Utility Vehicles,7
HSRRSCA3Y13C97ZF3,Used,2018,Chevrolet,Cruze,4dr Car,4,White,Gray,4,Automatic,59582,11325,I,Turbocharged Gas I4 1.4L/,FWD,Gasoline Fuel,29,39,4-door Compact Passenger Car,5
WYVB4W9PPBZG4THWM,Used,2019,Kia,Forte,4dr Car,4,White,Black,4,Variable,71783,11450,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,30,40,4-door Mid-Size Passenger Car,5
5NTA2RZUNC40CDCJM,Used,2019,Nissan,Sentra,4dr Car,4,Black,Gray,4,Variable,53975,10000,I,Regular Unleaded I-4 1.8 L/110,FWD,Gasoline Fuel,29,37,4-door Mid-Size Passenger Car,5
PXB5YLSWE0Z5XS1H5,Used,2020,Nissan,Sentra,4dr Car,4,Gray,Gray,4,Variable,60030,11775,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,29,39,4-door Mid-Size Passenger Car,5
KXSVE7MLBLB500A5X,Used,2024,Toyota,Camry,4dr Car,4,White,Black,4,Automatic,24150,27025,I,Regular Unleaded I-4 2.5 L/152,FWD,Gasoline Fuel,28,39,4-door Mid-Size Passenger Car,5
2JGFF4KWTKL0RBT6R,Used,2020,Kia,Telluride,Sport Utility,4,Gray,Black,6,Automatic,76636,22525,V,Regular Unleaded V-6 3.8 L/231,FWD,Gasoline Fuel,20,26,2WD Sport Utility Vehicles,8
HL6KV60L3MNN51D9V,New,2019,Nissan,Rogue Sport,Sport Utility,4,Gray,Gray,4,Variable,0,12800,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,25,32,Small Wagon,5
U9T0LEAJR2YLNHT01,Used,2017,Lexus,NX,Sport Utility,4,White,Black,4,Automatic,24298,24300,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,22,28,2WD Sport Utility Vehicles,5
R5S3ZPCKU46NS1PZP,Used,2018,Hyundai,Kona,Sport Utility,4,Black,Black,4,Automatic,71181,12875,I,Intercooled Turbo Regular Unleaded I-4 1.6 L/97,FWD,Gasoline Fuel,28,32,2WD Sport Utility Vehicles,5
10DW9R8YT2P82WAEU,Used,2010,Kia,Forte,4dr Car,4,Silver,Gray,4,Automatic,177574,800,I,Gas I4 2.0L/122,FWD,Gasoline Fuel,25,34,4-door Mid-Size Passenger Car,5
K9PV73FEY31N74YCX,Used,2017,Chevrolet,Cruze,4dr Car,4,White,Gray,4,Automatic,77089,7700,I,Turbocharged Gas I4 1.4L/,FWD,Gasoline Fuel,30,40,4-door Compact Passenger Car,5
5V6484VSXPF825ST6,New,2020,Chevrolet,Camaro,Convertible,2,White,Black,6,Automatic,0,17225,V,Gas V6 3.6L/222,RWD,Gasoline Fuel,19,31,2-door Compact Passenger Car,4
A4D55RWYDYSKAXWCW,New,2022,Toyota,Tacoma 2WD,Extended Cab Pickup,4,White,Gray,4,Automatic,0,22650,I,Regular Unleaded I-4 2.7 L/164,RWD,Gasoline Fuel,20,23,2WD Small Pickup Trucks,4
TH09LSFY32LNNCAWU,Used,2022,Hyundai,Tucson,Sport Utility,4,Silver,Black,4,Automatic,68589,16475,I,Regular Unleaded I-4 2.5 L/152,FWD,Gasoline Fuel,26,33,2WD Sport Utility Vehicles,5
TU99WNU7D1CAMJBFV,Used,2019,Hyundai,Sonata,4dr Car,4,Gray,Black,4,Automatic,65599,13125,I,Regular Unleaded I-4 2.4 L/144,FWD,Gasoline Fuel,25,33,4-door Large Passenger Car,5
LYTEPYZ4FYA0XC0RC,New,2020,Chevrolet,Trax,Sport Utility,4,Silver,Black,4,Automatic,0,12725,,Turbocharged Gas 4-Cyl 1.4L/,FWD,Gasoline Fuel,26,31,2WD Sport Utility Vehicles,5
38WAHLURTTKRGCF9Y,Used,2015,Nissan,Rogue,Sport Utility,4,Blue,Gray,4,Variable,74466,10125,I,Regular Unleaded I-4 2.5 L/152,FWD,Gasoline Fuel,26,33,2WD Sport Utility Vehicles,5
14RSD6XNZ4DVYCZ9S,Used,2016,Audi,Q5,Sport Utility,4,Black,Black,4,Automatic,141147,7050,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,AWD,Gasoline Fuel,20,27,4WD Sport Utility Vehicles,5
K0Z3EMY5GZXMSKVWF,Used,2019,Ford,Escape,Sport Utility,4,Black,Black,4,Automatic,72974,10775,I,Regular Unleaded I-4 2.5 L/152,FWD,Gasoline Fuel,21,29,2WD Sport Utility Vehicles,5
1BEB3HZ9AVV3ELPD9,New,2021,Ford,Ranger,Extended Cab Pickup,4,White,Black,4,Automatic,0,20700,I,Intercooled Turbo Regular Unleaded I-4 2.3 L/140,RWD,Gasoline Fuel,21,26,2WD Standard Pickup Trucks,4
HGLKAA1BWN5NGUN0L,New,2020,Honda,Civic Sedan,4dr Car,4,Black,Black,4,Variable,0,18125,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,29,37,4-door Mid-Size Passenger Car,5
ZKXDB70WM3GXEB7ZX,New,2022,Chevrolet,Silverado 1500 LTD,Crew Cab Pickup,4,White,Black,8,Automatic,0,39625,V,Gas V8 6.2L/376,4WD,Gasoline Fuel,14,18,4WD Standard Pickup Trucks,5
1CA5R7CTC79M9H4BT,Used,2021,Nissan,Versa,4dr Car,4,Black,Gray,4,Variable,73443,13850,I,Regular Unleaded I-4 1.6 L/98,FWD,Gasoline Fuel,32,40,4-door Compact Passenger Car,5
EKVDD59LVK3KEN73Y,New,2019,INFINITI,QX60,Sport Utility,4,Black,Gray,6,Variable,0,17050,V,Premium Unleaded V-6 3.5 L/213,AWD,Gasoline Fuel,19,26,4WD Sport Utility Vehicles,7
JRFX4V6K69LXZV7H6,Used,2017,Hyundai,Tucson,Sport Utility,4,Black,Gray,4,Automatic,69873,11675,I,Regular Unleaded I-4 2.0 L/122,AWD,Gasoline Fuel,21,26,4WD Sport Utility Vehicles,5
425DGKC4CEX1FX2WC,Used,2016,Jeep,Patriot,Sport Utility,4,Silver,Gray,4,Manual,25987,7575,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,23,30,2WD Sport Utility Vehicles,5
SCK61R7SCJL1CS87L,Used,2021,Ford,Transit Passenger Wagon,Full-size Passenger Van,3,Silver,Gray,6,Automatic,58840,35275,V,Regular Unleaded V-6 3.5 L/213,RWD,Gasoline Fuel,,,Large Passenger Vans,12
2LN7Y17S4PSB7EGYL,New,2017,Chevrolet,Malibu,4dr Car,4,Blue,Gray,4,Automatic,0,11625,I,Turbocharged Gas I4 1.5L/91,FWD,Gasoline Fuel,27,36,4-door Mid-Size Passenger Car,5
NWKTL21DL4ZF2LDK7,Used,2019,Chevrolet,Colorado,Extended Cab Pickup,2,White,Gray,4,Automatic,67130,15075,I,Gas I4 2.5L/150,RWD,Gasoline Fuel,20,26,2WD Small Pickup Trucks,4
PCYHFUGJW78GCGTZU,Used,2024,Nissan,Frontier,Extended Cab Pickup,4,White,Gray,6,Automatic,2368,28100,V,Regular Unleaded V-6 3.8 L/231,RWD,Gasoline Fuel,18,24,2WD Standard Pickup Trucks,4
VURAHB00E6KXC2XNA,Used,2018,Dodge,Challenger,2dr Car,2,Gray,Black,6,Automatic,61275,16875,V,Regular Unleaded V-6 3.6 L/220,RWD,Gasoline Fuel,19,30,2-door Mid-Size Passenger Car,5
HAXL3CSG27DH0PW14,Used,2017,Kia,Forte,4dr Car,4,White,Black,4,Automatic,64340,10800,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,29,38,4-door Mid-Size Passenger Car,5
GN7YYRU7D9FWNG97T,New,2021,Toyota,Tacoma 4WD,Crew Cab Pickup,4,White,Gray,6,Automatic,0,29000,V,Regular Unleaded V-6 3.5 L/211,4WD,Gasoline Fuel,18,22,4WD Small Pickup Trucks,5
RHCKCLVG02J8C6D5K,Used,2017,Volkswagen,Jetta,4dr Car,4,Gray,Gray,4,Automatic,71789,9050,I,Intercooled Turbo Regular Unleaded I-4 1.4 L/85,FWD,Gasoline Fuel,28,38,4-door Compact Passenger Car,5
1PV6EFTDN2N6N98TY,Used,2020,Hyundai,Elantra,4dr Car,4,Gray,Gray,4,Variable,58821,12875,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,30,40,4-door Mid-Size Passenger Car,5
4ADHY145Z98DA5HL2,Used,2018,Toyota,Sienna,"Mini-van, Passenger",4,Blue,Gray,6,Automatic,75446,21450,V,Regular Unleaded V-6 3.5 L/211,FWD,Gasoline Fuel,19,27,2WD Minivans,8
UWNT5S1D1AV833FMV,New,2024,Volvo,S60,4dr Car,4,Black,Gray,4,Automatic,0,34400,I,Intercooled Turbo Gas/Electric I-4 2.0 L/120,AWD,Hybrid Fuel,25,33,4-door Compact Passenger Car,5
D8N3N09LRR70YDBJA,Used,2023,Mitsubishi,Outlander Sport,Sport Utility,4,Silver,Black,4,Variable,24855,17425,I,Regular Unleaded I-4 2.0 L/122,4WD,Gasoline Fuel,23,29,4WD Sport Utility Vehicles,5
GUT7H4T0M0F3S9EXU,Used,2021,Chevrolet,Trax,Sport Utility,4,Red,Black,4,Automatic,71077,13350,,Turbocharged Gas 4-Cyl 1.4L/,FWD,Gasoline Fuel,24,32,2WD Sport Utility Vehicles,5
YSYRUC00PXC4VDMNT,New,2020,Chevrolet,Spark,Hatchback,4,Silver,Black,4,Automatic,0,9775,I,Gas I4 1.4L/85,FWD,Gasoline Fuel,30,38,4-door Sub-Compact Passenger Car,4
TJZ9L29YRT0GG8VX7,Used,2020,Hyundai,Tucson,Sport Utility,4,Blue,Black,4,Automatic,42305,15225,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,23,28,2WD Sport Utility Vehicles,5
V1NR1NJDENBDSY0K8,New,2020,Land Rover,Discovery,Sport Utility,4,Blue,Gray,6,Automatic,0,25225,V,Intercooled Supercharger Premium Unleaded V-6 3.0 L/183,4WD,Gasoline Fuel,16,21,4WD Sport Utility Vehicles,5
ZWWY19Y78PNY897Z4,Used,2018,Mercedes-Benz,CLA,4dr Car,4,Gray,Black,4,Automatic,64282,15075,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,AWD,Gasoline Fuel,24,32,4-door Compact Passenger Car,5
G8A763A51RURU29KC,New,2021,Jeep,Cherokee,Sport Utility,4,Silver,Gray,6,Automatic,0,22350,V,Regular Unleaded V-6 3.2 L/198,4WD,Gasoline Fuel,19,27,4WD Sport Utility Vehicles,5
33N863H4WUGGRJZXF,New,2017,Hyundai,Tucson,Sport Utility,4,Brown,Tan,4,Automatic,0,11675,I,Regular Unleaded I-4 2.0 L/122,AWD,Gasoline Fuel,21,26,4WD Sport Utility Vehicles,5
47D5PU1TSXWMGA1ZC,Used,2014,Jeep,Patriot,Sport Utility,4,Black,Gray,4,Manual,113645,4600,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,23,30,2WD Sport Utility Vehicles,5
28587H4M6JSW3VHHL,New,2017,Hyundai,Tucson,Sport Utility,4,Gray,Gray,4,Automatic,0,13388,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,23,30,2WD Sport Utility Vehicles,5
JC8VBMRVJCNUTG2U8,New,2021,Kia,Sedona,"Mini-van, Passenger",4,White,Gray,6,Automatic,0,17200,V,Regular Unleaded V-6 3.3 L/204,FWD,Gasoline Fuel,18,24,2WD Minivans,8
M6ENE9FU8K21F50GA,Used,2017,Jaguar,F-PACE,Sport Utility,4,Blue,Gray,6,Automatic,92845,11400,V,Intercooled Supercharger Premium Unleaded V-6 3.0 L/183,AWD,Gasoline Fuel,18,23,4WD Sport Utility Vehicles,5
U2RR6TH546BMTCWJ1,New,2015,Mercedes-Benz,CLS-Class,4dr Car,4,Silver,Black,6,Automatic,0,20138,V,Twin Turbo Premium Unleaded V-6 3.0 L/183,AWD,Gasoline Fuel,19,26,4-door Compact Passenger Car,4
V3HL8K14VBEPK0KRR,Used,2019,Honda,Insight,4dr Car,4,Silver,Black,4,Variable,33810,17475,I,Gas/Electric I-4 1.5 L/91,FWD,Hybrid Fuel,55,49,4-door Mid-Size Passenger Car,5
UEC4782DX5CH6KUC2,Used,2021,Jeep,Grand Cherokee,Sport Utility,4,Brown,Brown,6,Automatic,27122,32700,V,Regular Unleaded V-6 3.6 L/220,4WD,Gasoline Fuel,18,25,4WD Sport Utility Vehicles,5
DDYX656N0AKXGTVXD,Used,2020,Ram,1500 Classic,Crew Cab Pickup,4,Gray,Gray,8,Automatic,64606,18150,V,Regular Unleaded V-8 5.7 L/345,RWD,Gasoline Fuel,15,22,2WD Standard Pickup Trucks,6
L69FK4SE2YU19EG3P,Used,2016,Ford,Mustang,2dr Car,2,Blue,Black,4,6-Speed,64058,13875,I,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,RWD,Gasoline Fuel,22,31,2-door Sub-Compact Passenger Car,4
ZM0ZWAY9L300XNLUT,New,2020,Ford,Mustang,2dr Car,2,Red,Black,4,Automatic,0,19825,I,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,RWD,Gasoline Fuel,21,30,2-door Sub-Compact Passenger Car,4
GGNT8376563B620B0,Used,2022,Ford,Escape,Sport Utility,4,Silver,Gray,3,Automatic,41135,16150,I,Intercooled Turbo Regular Unleaded I-3 1.5 L/91,FWD,Gasoline Fuel,28,34,2WD Sport Utility Vehicles,5
5J4E9EB59U2KJUC4T,Used,2023,Ford,Expedition Max,Sport Utility,4,White,Black,6,Automatic,44135,46900,V,Twin Turbo Regular Unleaded V-6 3.5 L/213,RWD,Gasoline Fuel,17,23,2WD Sport Utility Vehicles,8
K5GPM49NGVLZEE1T3,Used,2024,Ford,Explorer,Sport Utility,4,Blue,Black,4,Automatic,363,38725,I,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,4WD,Gasoline Fuel,20,27,4WD Sport Utility Vehicles,6
PZ29VMZPCK5LLCPN1,New,2022,Ford,Explorer,Sport Utility,4,Red,Gray,4,Automatic,0,31500,I,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,4WD,Gasoline Fuel,20,27,4WD Sport Utility Vehicles,6
3UAD3A1MULG44UCUT,Used,2017,Chevrolet,Malibu,4dr Car,4,Brown,Black,4,Automatic,65273,12025,I,Turbocharged Gas I4 1.5L/91,FWD,Gasoline Fuel,27,36,4-door Mid-Size Passenger Car,5
GZ9K15KWXGVM96BGD,Used,2023,Chevrolet,Malibu,4dr Car,4,Black,Black,4,Automatic,41932,21450,I,Turbocharged Gas I4 1.5L/91,FWD,Gasoline Fuel,27,35,4-door Mid-Size Passenger Car,5
3ASVR2FT8SPUX0HHB,Used,2015,Cadillac,ATS Sedan,4dr Car,4,Black,Black,4,Automatic,52585,9750,I,Turbocharged Gas I4 2.0L/122,AWD,Gasoline Fuel,20,28,4-door Compact Passenger Car,5
NMW9S3H86KU8T1PTN,Used,2019,Chevrolet,Silverado 2500HD,Crew Cab Pickup,4,White,Gray,8,Automatic,64167,26925,V,Gas/Ethanol V8 6.0L/366,4WD,Flex Fuel,15,22,4WD Standard Pickup Trucks,6
S53S5LVTAD4YNK2UM,New,2022,Chevrolet,Colorado,Extended Cab Pickup,2,White,Gray,4,Automatic,0,21925,I,Gas I4 2.5L/,RWD,Gasoline Fuel,19,25,2WD Small Pickup Trucks,4
MFS0NFYCRBJX8R90E,Used,2021,Nissan,Altima,4dr Car,4,Black,Gray,4,Variable,36777,21025,I,Regular Unleaded I-4 2.5 L/152,FWD,Gasoline Fuel,28,39,4-door Mid-Size Passenger Car,5
E3Y1P55KM69X0EMZU,Used,2020,Dodge,Charger,4dr Car,4,Red,Black,8,Automatic,69854,23000,V,Regular Unleaded V-8 5.7 L/345,RWD,Gasoline Fuel,16,25,4-door Large Passenger Car,5
JEDR3HGGJKW7WU6J6,Used,2019,Dodge,Challenger,2dr Car,2,White,Black,8,Automatic,37040,31025,V,Premium Unleaded V-8 6.4 L/392,RWD,Gasoline Fuel,15,24,2-door Mid-Size Passenger Car,5
E0CVKYHUWMP7TNJGF,Used,2019,Dodge,Challenger,2dr Car,2,Red,Black,6,Automatic,65235,18850,V,Regular Unleaded V-6 3.6 L/220,RWD,Gasoline Fuel,18,27,2-door Mid-Size Passenger Car,5
D55LG4BD6ZZZ5JPSF,Used,2019,Chevrolet,Silverado 2500HD,Extended Cab Pickup,4,White,Gray,8,Automatic,54638,25575,V,Gas/Ethanol V8 6.0L/366,4WD,Flex Fuel,,,4WD Standard Pickup Trucks,6
SC33579XT6H0Z4Z98,Used,2022,Ram,2500,Crew Cab Pickup,4,White,Gray,6,Automatic,68651,37150,I,Intercooled Turbo Diesel I-6 6.7 L/408,4WD,Diesel Fuel,,,4WD Standard Pickup Trucks,6
KG0W0R1U0WVNYB68V,Used,2021,Chevrolet,Silverado 1500,Crew Cab Pickup,4,Black,Black,6,Automatic,79374,36675,I,Turbocharged Diesel I6 3.0L/183,4WD,Diesel Fuel,22,26,4WD Standard Pickup Trucks,5
